f380 8000 msr	CPSR_, r0
f380 8001 msr	IAPSR, r0
f380 8002 msr	EAPSR, r0
f380 8003 msr	PSR, r0
f380 8004 msr	<unknown>, r0
f380 8005 msr	IPSR, r0
f380 8006 msr	EPSR, r0
f380 8007 msr	IEPSR, r0
f380 8008 msr	MSP, r0
f380 8009 msr	PSP, r0
f380 800a msr	MSPLIM, r0
f380 800b msr	PSPLIM, r0
f380 800c msr	<unknown>, r0
f380 800d msr	<unknown>, r0
f380 800e msr	<unknown>, r0
f380 800f msr	<unknown>, r0
f380 8010 msr	PRIMASK, r0
f380 8011 msr	BASEPRI, r0
f380 8012 msr	BASEPRI_MAX, r0
f380 8013 msr	FAULTMASK, r0
f380 8014 msr	CONTROL, r0
f380 8015 msr	<unknown>, r0
f380 8016 msr	<unknown>, r0
f380 8017 msr	<unknown>, r0
f380 8018 msr	<unknown>, r0
f380 8019 msr	<unknown>, r0
f380 801a msr	<unknown>, r0
f380 801b msr	<unknown>, r0
f380 801c msr	<unknown>, r0
f380 801d msr	<unknown>, r0
f380 801e msr	<unknown>, r0
f380 801f msr	<unknown>, r0
f380 8020 msr	R8_usr, r0
f380 8021 msr	R8_usr, r0
f380 8022 msr	R8_usr, r0
f380 8023 msr	R8_usr, r0
f380 8024 msr	R8_usr, r0
f380 8025 msr	R8_usr, r0
f380 8026 msr	R8_usr, r0
f380 8027 msr	R8_usr, r0
f380 8028 msr	R8_usr, r0
f380 8029 msr	R8_usr, r0
f380 802a msr	R8_usr, r0
f380 802b msr	R8_usr, r0
f380 802c msr	R8_usr, r0
f380 802d msr	R8_usr, r0
f380 802e msr	R8_usr, r0
f380 802f msr	R8_usr, r0
f380 8030 msr	LR_irq, r0
f380 8031 msr	LR_irq, r0
f380 8032 msr	LR_irq, r0
f380 8033 msr	LR_irq, r0
f380 8034 msr	LR_irq, r0
f380 8035 msr	LR_irq, r0
f380 8036 msr	LR_irq, r0
f380 8037 msr	LR_irq, r0
f380 8038 msr	LR_irq, r0
f380 8039 msr	LR_irq, r0
f380 803a msr	LR_irq, r0
f380 803b msr	LR_irq, r0
f380 803c msr	LR_irq, r0
f380 803d msr	LR_irq, r0
f380 803e msr	LR_irq, r0
f380 803f msr	LR_irq, r0
f380 8040 msr	<unknown>, r0
f380 8041 msr	<unknown>, r0
f380 8042 msr	<unknown>, r0
f380 8043 msr	<unknown>, r0
f380 8044 msr	<unknown>, r0
f380 8045 msr	<unknown>, r0
f380 8046 msr	<unknown>, r0
f380 8047 msr	<unknown>, r0
f380 8048 msr	<unknown>, r0
f380 8049 msr	<unknown>, r0
f380 804a msr	<unknown>, r0
f380 804b msr	<unknown>, r0
f380 804c msr	<unknown>, r0
f380 804d msr	<unknown>, r0
f380 804e msr	<unknown>, r0
f380 804f msr	<unknown>, r0
f380 8050 msr	<unknown>, r0
f380 8051 msr	<unknown>, r0
f380 8052 msr	<unknown>, r0
f380 8053 msr	<unknown>, r0
f380 8054 msr	<unknown>, r0
f380 8055 msr	<unknown>, r0
f380 8056 msr	<unknown>, r0
f380 8057 msr	<unknown>, r0
f380 8058 msr	<unknown>, r0
f380 8059 msr	<unknown>, r0
f380 805a msr	<unknown>, r0
f380 805b msr	<unknown>, r0
f380 805c msr	<unknown>, r0
f380 805d msr	<unknown>, r0
f380 805e msr	<unknown>, r0
f380 805f msr	<unknown>, r0
f380 8060 msr	R8_usr, r0
f380 8061 msr	R8_usr, r0
f380 8062 msr	R8_usr, r0
f380 8063 msr	R8_usr, r0
f380 8064 msr	R8_usr, r0
f380 8065 msr	R8_usr, r0
f380 8066 msr	R8_usr, r0
f380 8067 msr	R8_usr, r0
f380 8068 msr	R8_usr, r0
f380 8069 msr	R8_usr, r0
f380 806a msr	R8_usr, r0
f380 806b msr	R8_usr, r0
f380 806c msr	R8_usr, r0
f380 806d msr	R8_usr, r0
f380 806e msr	R8_usr, r0
f380 806f msr	R8_usr, r0
f380 8070 msr	LR_irq, r0
f380 8071 msr	LR_irq, r0
f380 8072 msr	LR_irq, r0
f380 8073 msr	LR_irq, r0
f380 8074 msr	LR_irq, r0
f380 8075 msr	LR_irq, r0
f380 8076 msr	LR_irq, r0
f380 8077 msr	LR_irq, r0
f380 8078 msr	LR_irq, r0
f380 8079 msr	LR_irq, r0
f380 807a msr	LR_irq, r0
f380 807b msr	LR_irq, r0
f380 807c msr	LR_irq, r0
f380 807d msr	LR_irq, r0
